ID,RA,Dec,Gal Long,Gal Lat,Ecl Long,Ecl Lat
1,0.0,89.8,122.881997814,26.9332598227,89.5076542775,66.5593166818
2,58.7940268576,86.0,126.084818861,24.3114191141,85.4325104999,63.0639101427
3,98.7940268576,86.0,127.40188832,26.7739495317,91.3364052808,62.600513734
4,138.794026858,86.0,126.650000645,29.4265098532,96.8264421751,63.7610798316
5,178.794026858,86.0,124.065231017,31.003750297,99.9449777128,66.1564085565
6,218.794026858,86.0,120.898416975,30.7106962478,98.6776319498,68.8474083942
7,258.794026858,86.0,118.767863483,28.6977485986,92.3370980664,70.4690157021
8,298.794026858,86.0,118.653276626,25.9654450324,84.3809687869,69.9783587053
9,338.794026858,86.0,120.484483553,23.7936621579,80.1379968831,67.7115066388
10,18.7940268576,86.0,123.381347819,23.1489836237,81.0198388351,65.0001680538
11,17.6275960031,81.1388888889,123.704641759,18.2957699276,71.3922242137,62.6210110222
12,41.6275960031,81.1388888889,127.436817204,19.2911582032,76.7028676827,59.9779015859
13,65.6275960031,81.1388888889,130.510098015,21.5673145492,83.0607757024,58.2898045164
14,89.6275960031,81.1388888889,132.438429899,24.78167879,89.899424,57.6990373195
15,113.627596003,81.1388888889,132.841156986,28.4345995583,96.7453834439,58.253354567
16,137.627596003,81.1388888889,131.505539698,31.9190105962,103.12659322,59.9079370608
17,161.627596003,81.1388888889,128.499816176,34.5946505067,108.481359613,62.5235718845
18,185.627596003,81.1388888889,124.303853557,35.912173363,112.021966125,65.8562475345
19,209.627596003,81.1388888889,119.799716437,35.5776577776,112.517016816,69.5220491437
20,233.627596003,81.1388888889,115.990206942,33.6673652512,108.129312027,72.9123173909
21,257.627596003,81.1388888889,113.615873426,30.5960519625,97.3932459169,75.1000488152
22,281.627596003,81.1388888889,112.981652361,26.9677446107,83.065914552,75.1383679427
23,305.627596003,81.1388888889,114.027294851,23.4211051753,72.1358781608,73.0072176388
24,329.627596003,81.1388888889,116.463039491,20.5274938292,67.5573963723,69.6394095252
25,353.627596003,81.1388888889,119.860742028,18.7293805343,67.9270802985,65.9713601401
26,10.8974007027,76.2777777778,122.45352702,13.4133208725,61.4253928393,60.8645412456
27,28.0402578455,76.2777777778,126.599977702,13.8403547598,66.8162723329,57.8813460401
28,45.1831149884,76.2777777778,130.489685502,15.3411021098,72.8260952666,55.524343518
29,62.3259721312,76.2777777778,133.847271284,17.8041591382,79.2352520776,53.8748683219
30,79.4688292741,76.2777777778,136.422523919,21.04831831,85.8753153626,52.9890779884
31,96.611686417,76.2777777778,137.992108928,24.8341477755,92.6006212601,52.8970884734
32,113.75454356,76.2777777778,138.358674349,28.8731743118,99.2726460776,53.6020151993
33,130.897400703,76.2777777778,137.36107768,32.833953054,105.748505976,55.0798590516
34,148.040257846,76.2777777778,134.913941164,36.3504320273,111.866918145,57.2803292362
35,165.183114988,76.2777777778,131.087806067,39.0451184581,117.423748128,60.1278687864
36,182.325972131,76.2777777778,126.205220233,40.5815351802,122.123616554,63.5211085026
37,199.468829274,76.2777777778,120.866668314,40.7442807529,125.478409248,67.3269950816
38,216.611686417,76.2777777778,115.81809156,39.5093874004,126.584335601,71.3605170918
39,233.75454356,76.2777777778,111.711076158,37.0531265453,123.638582125,75.325007426
40,250.897400703,76.2777777778,108.934351579,33.6918424951,113.262892816,78.6513525383
41,268.040257846,76.2777777778,107.608405109,29.7995099657,92.7791529136,80.2633829345
42,285.183114988,76.2777777778,107.675096787,25.7477041682,70.6215462663,79.2234424705
43,302.325972131,76.2777777778,108.98571862,21.8768181664,57.9557945269,76.1772906897
44,319.468829274,76.2777777778,111.349545455,18.4856424466,53.6612909781,72.2939044395
45,336.611686417,76.2777777778,114.54913485,15.8255075699,54.041663692,68.2435836351
